pollutant,station,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7
NO,A4,4.256642,7.083349,12.102058,24.19829,41.729821,97.434001,194.616572
NO,A2,4.118153,6.785729,11.904284,23.680565,45.203236,100.85635,186.873972
NO,A3,4.007073,7.415484,12.169405,24.48391,49.270153,101.964014,208.908666
NO,A1,3.894661,7.506764,12.220707,24.002059,50.650373,106.955678,224.788869
NO2,A4,3.912795,7.983809,12.922032,25.696221,52.804189,125.363682,313.407946
NO2,A2,3.825398,7.261597,12.847972,24.550446,53.452619,116.997253,292.453967
NO2,A3,3.901466,7.593053,12.97872,24.74776,58.041219,127.210224,325.109025
NO2,A1,3.822037,7.876636,13.667621,24.402079,63.994016,132.951816,325.05925
NOX,A4,4.161822,7.330712,12.13604,24.472515,46.84298,99.652792,194.860624
NOX,A2,3.95292,7.024224,12.410436,24.48069,48.174043,105.696321,230.952672
NOX,A3,3.986343,7.610764,12.289248,24.758237,55.475708,111.044142,250.720959
NOX,A1,3.838912,7.90613,12.306089,24.311789,56.163987,116.988121,265.799995
CO,A4,3.905773,6.829852,12.792275,25.178024,50.955523,109.644323,250.806174
CO,A2,3.80783,6.626288,12.588757,24.827361,48.157713,112.449203,237.281255
CO,A3,3.83049,6.875787,12.606818,24.754043,50.674922,109.635169,237.088699
CO,A1,3.886455,7.201136,12.661906,24.548124,55.475287,127.133317,282.662496
PM2.5,A4,3.94029,6.603338,12.962797,25.924179,49.527002,106.995275,237.855896
PM2.5,A2,4.141781,6.442931,12.22102,23.428692,45.649972,96.38468,209.566035
PM2.5,A3,3.846897,6.624977,13.001151,26.078755,49.804707,113.959128,251.155916
PM2.5,A1,3.992932,6.57661,13.077643,25.035703,50.09141,104.457913,237.745886
